Date,Open,High,Low,Close,Volume,Open Interest
2018-07-11,1.0109,1.0109,1.0109,1.0109,0,0
2018-07-12,1.007,1.007,1.007,1.007,0,0
2018-07-13,1.0074,1.0074,1.0074,1.0074,0,0
2018-07-16,1.00855,1.00855,1.00855,1.00855,0,0
2018-07-17,1.0043,1.0043,1.0043,1.0043,0,0
2018-07-18,1.00415,1.00415,1.00415,1.00415,0,0
2018-07-19,1.00685,1.00685,1.00685,1.00685,0,0
2018-07-20,1.01595,1.01595,1.01595,1.01595,0,0
2018-07-23,1.0173,1.0173,1.0173,1.0173,0,0
2018-07-24,1.01975,1.01975,1.01975,1.01975,0,0
2018-07-25,1.02295,1.02295,1.02295,1.02295,0,0
2018-07-26,1.02005,1.02005,1.02005,1.02005,0,0
2018-07-27,1.02195,1.02195,1.02195,1.02195,0,0
2018-07-30,1.0218,1.0218,1.0218,1.0218,0,0
2018-07-31,1.01455,1.01455,1.01455,1.01455,0,0
2018-08-01,1.0168,1.0168,1.0168,1.0168,0,0
2018-08-02,1.0152,1.0152,1.0152,1.0152,0,0
2018-08-03,1.01865,1.01865,1.01865,1.01865,0,0
2018-08-06,1.0167,1.0167,1.0167,1.0167,0,0
2018-08-07,1.0173,1.0173,1.0173,1.0173,0,0
2018-08-08,1.0212,1.0212,1.0212,1.0212,0,0
2018-08-09,1.0194,1.0194,1.0194,1.0194,0,0
2018-08-10,1.02045,1.02045,1.02045,1.02045,0,0
2018-08-13,1.02105,1.02105,1.02105,1.02105,0,0
2018-08-14,1.01645,1.01645,1.01645,1.01645,0,0
2018-08-15,1.0207,1.0207,1.0207,1.0207,0,0
2018-08-16,1.019,1.019,1.019,1.019,0,0
2018-08-17,1.02075,1.02075,1.02075,1.02075,0,0
2018-08-20,1.02415,1.02415,1.02415,1.02415,0,0
2018-08-21,1.0228,1.0228,1.0228,1.0228,0,0
2018-08-22,1.0205,1.0205,1.0205,1.0205,0,0
2018-08-23,1.01335,1.01335,1.01335,1.01335,0,0
2018-08-24,1.0146,1.0146,1.0146,1.0146,0,0
2018-08-27,1.01625,1.01625,1.01625,1.01625,0,0
2018-08-28,1.0161,1.0161,1.0161,1.0161,0,0
2018-08-29,1.01225,1.01225,1.01225,1.01225,0,0
2018-08-30,1.0176,1.0176,1.0176,1.0176,0,0
2018-08-31,1.0166,1.0166,1.0166,1.0166,0,0
2018-09-04,1.01375,1.01375,1.01375,1.01375,0,0
2018-09-05,1.01305,1.01305,1.01305,1.01305,0,0
2018-09-06,1.01845,1.01845,1.01845,1.01845,0,0
2018-09-07,1.01915,1.01915,1.01915,1.01915,0,0
2018-09-10,1.01705,1.01705,1.01705,1.01705,0,0
2018-09-11,1.0148,1.0148,1.0148,1.0148,0,0
2018-09-12,1.0177,1.0177,1.0177,1.0177,0,0
2018-09-13,1.01145,1.01145,1.01145,1.01145,0,0
2018-09-14,1.0113,1.0113,1.0113,1.0113,0,0
2018-09-17,1.0127,1.0127,1.0127,1.0127,0,0
2018-09-18,1.00855,1.00855,1.00855,1.00855,0,0
2018-09-19,1.0101,1.0101,1.0101,1.0101,0,0
2018-09-20,1.00795,1.00795,1.00795,1.00795,0,0
2018-09-21,1.0067,1.0067,1.0067,1.0067,0,0
2018-09-24,1.0053,1.0053,1.0053,1.0053,0,0
2018-09-25,1.0042,1.0042,1.0042,1.0042,0,0
2018-09-26,1.0042,1.0042,1.0042,1.0042,0,0
2018-09-27,0.99865,0.99865,0.99865,0.99865,0,0
2018-09-28,0.9961,0.9961,0.9961,0.9961,0,0
2018-10-01,0.99275,0.99275,0.99275,0.99275,0,0
2018-10-02,0.9953,0.9953,0.9953,0.9953,0,0
2018-10-03,0.9917,0.9917,0.9917,0.9917,0,0
2018-10-04,0.99635,0.99635,0.99635,0.99635,0,0
2018-10-05,0.99845,0.99845,0.99845,0.99845,0,0
2018-10-08,1.0053,1.0053,1.0053,1.0053,0,0
2018-10-09,1.0042,1.0042,1.0042,1.0042,0,0
2018-10-10,1.00845,1.00845,1.00845,1.00845,0,0
2018-10-11,1.01295,1.01295,1.01295,1.01295,0,0
2018-10-12,1.01195,1.01195,1.01195,1.01195,0,0
2018-10-15,1.01405,1.01405,1.01405,1.01405,0,0
2018-10-16,1.012,1.012,1.012,1.012,0,0
2018-10-17,1.00945,1.00945,1.00945,1.00945,0,0
2018-10-18,1.01195,1.01195,1.01195,1.01195,0,0
2018-10-19,1.0091,1.0091,1.0091,1.0091,0,0
2018-10-22,1.0064,1.0064,1.0064,1.0064,0,0
2018-10-23,1.00755,1.00755,1.00755,1.00755,0,0
2018-10-24,1.0072,1.0072,1.0072,1.0072,0,0
2018-10-25,1.0063,1.0063,1.0063,1.0063,0,0
2018-10-26,1.0116,1.0116,1.0116,1.0116,0,0
2018-10-29,1.00775,1.00775,1.00775,1.00775,0,0
2018-10-30,1.00135,1.00135,1.00135,1.00135,0,0
2018-10-31,1.0018,1.0018,1.0018,1.0018,0,0
2018-11-01,1.00425,1.00425,1.00425,1.00425,0,0
2018-11-02,1.0006,1.0006,1.0006,1.0006,0,0
2018-11-05,1.00175,1.00175,1.00175,1.00175,0,0
2018-11-06,1.0007,1.0007,1.0007,1.0007,0,0
2018-11-07,1.0007,1.0007,1.0007,1.0007,0,0
2018-11-08,0.99605,0.99605,0.99605,0.99605,0,0
2018-11-09,0.99695,0.99695,0.99695,0.99695,0,0
2018-11-12,0.99615,0.99615,0.99615,0.99615,0,0
2018-11-13,0.9954,0.9954,0.9954,0.9954,0,0
2018-11-14,0.9969,0.9969,0.9969,0.9969,0,0
2018-11-15,0.996,0.996,0.996,0.996,0,0
2018-11-16,1.0006,1.0006,1.0006,1.0006,0,0
2018-11-19,1.00195,1.00195,1.00195,1.00195,0,0
2018-11-20,1.00035,1.00035,1.00035,1.00035,0,0
2018-11-21,0.998,0.998,0.998,0.998,0,0
2018-11-23,0.9994,0.9994,0.9994,0.9994,0,0
2018-11-26,0.9924,0.9924,0.9924,0.9924,0,0
2018-11-27,0.9903,0.9903,0.9903,0.9903,0,0
2018-11-28,0.99155,0.99155,0.99155,0.99155,0,0
2018-11-29,0.9924,0.9924,0.9924,0.9924,0,0
2018-11-30,0.99085,0.99085,0.99085,0.99085,0,0
2018-12-03,0.9901,0.9901,0.9901,0.9901,0,0
2018-12-04,0.9967,0.9967,0.9967,0.9967,0,0
2018-12-06,0.99635,0.99635,0.99635,0.99635,0,0
2018-12-07,0.9947,0.9947,0.9947,0.9947,0,0
2018-12-10,0.98915,0.98915,0.98915,0.98915,0,0
2018-12-11,0.98755,0.98755,0.98755,0.98755,0,0
2018-12-12,0.9905,0.9905,0.9905,0.9905,0,0
2018-12-13,0.9857,0.9857,0.9857,0.9857,0,0
2018-12-14,0.98845,0.98845,0.98845,0.98845,0,0
2018-12-17,0.99235,0.99235,0.99235,0.99235,0,0
2018-12-18,0.99285,0.99285,0.99285,0.99285,0,0
2018-12-19,0.99355,0.99355,0.99355,0.99355,0,0
2018-12-20,1.0039,1.0039,1.0039,1.0039,0,0
2018-12-21,1.0015,1.0015,1.0015,1.0015,0,0
2018-12-24,1.0087,1.0087,1.0087,1.0087,0,0
2018-12-26,0.99785,0.99785,0.99785,0.99785,0,0
2018-12-27,1.004,1.004,1.004,1.004,0,0
2018-12-28,1.0058,1.0058,1.0058,1.0058,0,0
2018-12-31,1.0119,1.0119,1.0119,1.0119,0,0
2019-01-02,1.0162,1.0162,1.0162,1.0162,0,0
2019-01-03,1.02565,1.02565,1.02565,1.02565,0,0
2019-01-04,1.0218,1.0218,1.0218,1.0218,0,0
2019-01-07,1.02155,1.02155,1.02155,1.02155,0,0
2019-01-08,1.0225,1.0225,1.0225,1.0225,0,0
2019-01-09,1.02535,1.02535,1.02535,1.02535,0,0
2019-01-10,1.0242,1.0242,1.0242,1.0242,0,0
2019-01-11,1.02305,1.02305,1.02305,1.02305,0,0
2019-01-14,1.0261,1.0261,1.0261,1.0261,0,0
2019-01-15,1.02345,1.02345,1.02345,1.02345,0,0
2019-01-16,1.02005,1.02005,1.02005,1.02005,0,0
2019-01-17,1.01705,1.01705,1.01705,1.01705,0,0
2019-01-18,1.01445,1.01445,1.01445,1.01445,0,0
2019-01-22,1.01715,1.01715,1.01715,1.01715,0,0
2019-01-23,1.01465,1.01465,1.01465,1.01465,0,0
2019-01-24,1.01245,1.01245,1.01245,1.01245,0,0
2019-01-25,1.01455,1.01455,1.01455,1.01455,0,0
2019-01-28,1.01645,1.01645,1.01645,1.01645,0,0
2019-01-29,1.0168,1.0168,1.0168,1.0168,0,0
2019-01-30,1.0198,1.0198,1.0198,1.0198,0,0
2019-01-31,1.01615,1.01615,1.01615,1.01615,0,0
2019-02-01,1.0123,1.0123,1.0123,1.0123,0,0
2019-02-04,1.0093,1.0093,1.0093,1.0093,0,0
2019-02-05,1.00845,1.00845,1.00845,1.00845,0,0
2019-02-06,1.0081,1.0081,1.0081,1.0081,0,0
2019-02-07,1.008,1.008,1.008,1.008,0,0
2019-02-08,1.008,1.008,1.008,1.008,0,0
2019-02-11,1.00315,1.00315,1.00315,1.00315,0,0
2019-02-12,1.0023,1.0023,1.0023,1.0023,0,0
2019-02-13,0.9987,0.9987,0.9987,0.9987,0,0
2019-02-14,1.00185,1.00185,1.00185,1.00185,0,0
2019-02-15,1.00285,1.00285,1.00285,1.00285,0,0
2019-02-19,1.0003,1.0003,1.0003,1.0003,0,0
2019-02-20,0.9979,0.9979,0.9979,0.9979,0,0
2019-02-21,0.99995,0.99995,0.99995,0.99995,0,0
2019-02-22,0.998,0.998,0.998,0.998,0,0
2019-02-25,0.9946,0.9946,0.9946,0.9946,0,0
2019-02-26,0.9989,0.9989,0.9989,0.9989,0,0
2019-02-27,0.9946,0.9946,0.9946,0.9946,0,0
2019-02-28,0.9918,0.9918,0.9918,0.9918,0,0
2019-03-01,0.98705,0.98705,0.98705,0.98705,0,0
2019-03-04,0.98855,0.98855,0.98855,0.98855,0,0
2019-03-05,0.987,0.987,0.987,0.987,0,0
2019-03-06,0.9875,0.9875,0.9875,0.9875,0,0
2019-03-07,0.98835,0.98835,0.98835,0.98835,0,0
2019-03-08,0.99215,0.99215,0.99215,0.99215,0,0
2019-03-11,0.9912,0.9912,0.9912,0.9912,0,0
2019-03-12,0.9893,0.9893,0.9893,0.9893,0,0
2019-03-13,0.99155,0.99155,0.99155,0.99155,0,0
2019-03-14,0.98485,0.98485,0.98485,0.98485,0,0
2019-03-15,0.9868,0.9868,0.9868,0.9868,0,0
2019-03-18,0.9873,0.9873,0.9873,0.9873,0,0
2019-03-19,0.98715,0.98715,0.98715,0.98715,0,0
2019-03-20,0.99315,0.99315,0.99315,0.99315,0,0
2019-03-21,0.9895,0.9895,0.9895,0.9895,0,0
